,sketchID,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
32,gears_1.6182-d61fc503-aec8-4628-a767-04fadedc083f,7.0,2.0,2.0,0.0,11.0,0.18181818181818182,0.18181818181818182,0.0,0.6363636363636364
33,gears_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,4.0,2.0,2.0,11.0,19.0,0.10526315789473684,0.10526315789473684,0.5789473684210527,0.21052631578947367
34,gears_1.6913-0d12dbb2-8462-4303-b6cf-7479942d1541,5.0,1.0,2.0,0.0,8.0,0.125,0.25,0.0,0.625
35,gears_1.6930-a8fd4222-86f3-4623-99f4-fb8794cd4962,0.0,4.0,4.0,19.0,27.0,0.14814814814814814,0.14814814814814814,0.7037037037037037,0.0
36,gears_1.6943-85eb7519-bc4d-4f4f-8a72-18670800d8e6,0.0,34.0,37.0,0.0,71.0,0.4788732394366197,0.5211267605633803,0.0,0.0
37,gears_1.6945-10eab378-7b98-4663-bd65-4d741b54cbcc,2.0,2.0,2.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
38,gears_1.7376-6f5f07d7-86c3-4c4c-a052-3634d7755b9d,0.0,3.0,0.0,1.0,4.0,0.75,0.0,0.25,0.0
39,gears_1.7539-a65b7363-3afb-43a6-850a-5c80a1202ddc,3.0,4.0,4.0,2.0,13.0,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.23076923076923078
40,gears_1.7873-86193d3b-b7ba-4998-b5c2-eef9e242d7d5,0.0,2.0,2.0,6.0,10.0,0.2,0.2,0.6,0.0
41,gears_1.7949-a2356f93-f47d-4e7d-ae6d-11f1e8409b36,3.0,2.0,2.0,0.0,7.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855
42,gears_1.8099-977cb375-6430-4168-9a78-d0ac87428542,8.0,18.0,15.0,0.0,41.0,0.43902439024390244,0.36585365853658536,0.0,0.1951219512195122
43,gears_1.8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,4.0,3.0,4.0,0.0,11.0,0.2727272727272727,0.36363636363636365,0.0,0.36363636363636365
44,gears_1.8624-cf726450-c50a-42ab-a8d5-99b5d0ad0a98,5.0,4.0,4.0,3.0,16.0,0.25,0.25,0.1875,0.3125
45,gears_1.8798-4a19eaf6-12f9-4a97-adf2-469707d7995f,5.0,1.0,2.0,0.0,8.0,0.125,0.25,0.0,0.625
46,gears_1.9226-c136ef9a-0131-4850-bf5f-1beaf85afcc6,9.0,6.0,8.0,0.0,23.0,0.2608695652173913,0.34782608695652173,0.0,0.391304347826087
47,gears_1.9393-2960082e-f208-4821-ac8e-759fbc3f4d02,0.0,2.0,2.0,0.0,4.0,0.5,0.5,0.0,0.0
48,gears_1.9438-e9871158-5512-4dca-9edd-11caab65234a,9.0,12.0,10.0,0.0,31.0,0.3870967741935484,0.3225806451612903,0.0,0.2903225806451613
49,gears_1.9810-988306f1-19e0-4158-a007-261fc2d3ae0b,3.0,2.0,2.0,6.0,13.0,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.23076923076923078
50,gears_2.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,3.0,3.0,3.0,0.0,9.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
51,gears_2.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,10.0,6.0,6.0,0.0,22.0,0.2727272727272727,0.2727272727272727,0.0,0.45454545454545453
52,gears_2.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,7.0,3.0,30.0,0.0,40.0,0.075,0.75,0.0,0.175
53,gears_2.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0.0,0.0,21.0,0.0,21.0,0.0,1.0,0.0,0.0
54,gears_2.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,3.0,2.0,3.0,0.0,8.0,0.25,0.375,0.0,0.375
