,sketchID,roi_labelName,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
33,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
34,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
35,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
36,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
37,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,background_5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
38,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
39,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
40,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
41,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
42,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
43,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
44,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,background_5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,gear_1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
46,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,gear_2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
47,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
48,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,gear_4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
49,gears_1.1568-93d31830-7fa2-4f39-8dac-4da643666140,background_5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
50,gears_1.1568-93d31830-7fa2-4f39-8dac-4da643666140,gear_1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
51,gears_1.1568-93d31830-7fa2-4f39-8dac-4da643666140,gear_2.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
52,gears_1.1568-93d31830-7fa2-4f39-8dac-4da643666140,gear_3.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
