,sketchID,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
50,gears_2.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,3.0,4.0,3.0,1.0,11.0,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.2727272727272727
51,gears_2.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,10.0,6.0,8.0,1.0,25.0,0.24,0.32,0.04,0.4
52,gears_2.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,5.0,3.0,31.0,0.0,39.0,0.07692307692307693,0.7948717948717948,0.0,0.1282051282051282
53,gears_2.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0.0,21.0,0.0,1.0,22.0,0.9545454545454546,0.0,0.045454545454545456,0.0
54,gears_2.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,3.0,2.0,3.0,0.0,8.0,0.25,0.375,0.0,0.375
55,gears_2.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,6.0,3.0,3.0,1.0,13.0,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.46153846153846156
56,gears_2.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,2.0,7.0,0.0,9.0,18.0,0.3888888888888889,0.0,0.5,0.1111111111111111
57,gears_2.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,3.0,3.0,2.0,8.0,16.0,0.1875,0.125,0.5,0.1875
58,gears_2.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,2.0,3.0,3.0,1.0,9.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222
59,gears_2.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,9.0,3.0,3.0,0.0,15.0,0.2,0.2,0.0,0.6
60,gears_2.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,3.0,3.0,3.0,0.0,9.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
61,gears_2.1568-93d31830-7fa2-4f39-8dac-4da643666140,6.0,8.0,12.0,8.0,34.0,0.23529411764705882,0.35294117647058826,0.23529411764705882,0.17647058823529413
62,gears_2.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,11.0,40.0,38.0,0.0,89.0,0.449438202247191,0.42696629213483145,0.0,0.12359550561797752
63,gears_2.1887-0675d919-20c4-4940-9610-d294d43c9bc1,4.0,4.0,3.0,0.0,11.0,0.36363636363636365,0.2727272727272727,0.0,0.36363636363636365
64,gears_2.1991-e997567a-fe35-409f-a17b-8a14b7585294,2.0,3.0,4.0,8.0,17.0,0.17647058823529413,0.23529411764705882,0.47058823529411764,0.11764705882352941
65,gears_2.2659-dd1b5c39-13c7-4a69-836f-03279f53939d,2.0,13.0,12.0,0.0,27.0,0.48148148148148145,0.4444444444444444,0.0,0.07407407407407407
66,gears_2.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,6.0,3.0,3.0,0.0,12.0,0.25,0.25,0.0,0.5
67,gears_2.2989-156d9df6-e309-430b-bbac-e47b6792127e,6.0,3.0,3.0,0.0,12.0,0.25,0.25,0.0,0.5
68,gears_2.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,9.0,3.0,3.0,1.0,16.0,0.1875,0.1875,0.0625,0.5625
69,gears_2.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,8.0,7.0,3.0,4.0,22.0,0.3181818181818182,0.13636363636363635,0.18181818181818182,0.36363636363636365
